firstName*,lastName*,email*,gender*,department*,batch*,mobile*,workingAt,address
Jatin,Doe,jatin@gmail.com,Male,Gastroenterology,2018-2019,1234567890,,Mysore
Nat,Ali,nat@gmail.com,Female,Gastroenterology,2015-2016,1234567891,,Mysore
Sahil,Ali,sahil2@gmail.com,Male,Gastroenterology,2018-2019,1234567892,,Mysore
Arjun,Mehra,arjun.mehra@gmail.com,Male,Cardiology,2017-2018,1234567893,,Faridabad
Priya,Sharma,priya.sharma@gmail.com,Female,Pediatrics,2016-2017,1234567894,,Delhi
Ravi,Verma,ravi.verma@gmail.com,Male,Neurology,2019-2020,1234567895,,Lucknow
Sneha,Roy,sneha.roy@gmail.com,Female,Gynecology,2015-2016,1234567896,,Kolkata
Aman,Khan,aman.khan@gmail.com,Male,Oncology,2018-2019,1234567897,,Bhopal
Anita,Singh,anita.singh@gmail.com,Female,Orthopedics,2017-2018,1234567898,,Chennai
Rohit,Saxena,rohit.saxena@gmail.com,Male,ENT,2016-2017,1234567899,,Hyderabad
